Review_Id,outlet_product_id_,customer_id_, Review,negative,neutral,positive,sentiment,rev
75,854,5,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",18.2,81.8,0.0,neu,guess known place would suck  inside Excalibur  nt use common sense 
76,720,5,The scallop dish is quite appalling for value as well.,23.6,33.800000000000004,42.6,pos,scallop dish quite appalling value well 
77,483,5,2 times - Very Bad Customer Service !,38.7,61.3,0.0,neu,2 times  Bad Customer Service 
78,1209,5,The sweet potato fries were very good and seasoned well.,0.0,33.300000000000004,66.7,pos,sweet potato fries good seasoned well 
79,870,5,Today is the second time I've been to their lunch buffet and it was pretty good.,0.0,53.400000000000006,46.6,neu,Today second time ve lunch buffet pretty good 
80,632,5,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,29.0,43.5,27.500000000000004,neu,much good food Vegas feel cheated wasting eating opportunity going Rice Company 
81,716,5,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0.0,67.9,32.1,neu,Coming like experiencing underwhelming relationship parties ca nt wait person ask break 
82,295,5,walked in and the place smelled like an old grease trap and only 2 others there eating.,16.7,65.2,18.1,neu,walked place smelled like old grease trap 2 others eating 
83,631,5,The turkey and roast beef were bland.,0.0,100.0,0.0,neu,turkey roast beef bland 
84,490,5,This place has it!,0.0,100.0,0.0,neu,place 
85,327,5,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,22.0,64.5,13.4,neu,pan cakes everyone raving taste like sugary disaster tailored palate six year old 
86,1196,5,I love the Pho and the spring rolls oh so yummy you have to try.,0.0,44.1,55.900000000000006,pos,love Pho spring rolls oh yummy try 
87,716,6,The poor batter to meat ratio made the chicken tenders very unsatisfying.,26.5,59.8,13.7,neu,poor batter meat ratio made chicken tenders unsatisfying 
88,652,6,All I have to say is the food was amazing!!!,0.0,51.7,48.3,neu,say food amazing   
89,43,6,Omelets are to die for!,67.7,32.300000000000004,0.0,neg,Omelets die 
90,76,6,Everything was fresh and delicious!,0.0,24.1,75.9,pos,Everything fresh delicious 
91,623,6,"In summary, this was a largely disappointing dining experience.",34.8,65.2,0.0,neu,summary  largely disappointing dining experience 
92,897,6,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",9.2,33.5,57.3,pos,s like really sexy party mouth  re outrageously flirting hottest person party 
93,829,6,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0.0,85.0,15.0,neu,Never Hard Rock Casino  NEVER EVER STEP FORWARD 
94,867,6,Best breakfast buffet!!!,0.0,49.6,50.4,pos,Best breakfast buffet   
95,472,6,say bye bye to your tip lady!,0.0,100.0,0.0,neu,say bye bye tip lady 
96,1204,6,We'll never go again.,0.0,100.0,0.0,neu,ll never go 
97,711,6,Will be back again!,0.0,100.0,0.0,neu,back 
98,51,7,Food arrived quickly!,0.0,100.0,0.0,neu,Food arrived quickly 
99,1211,7,It was not good.,0.0,25.6,74.4,pos,good 
100,131,7,"On the up side, their cafe serves really good food.",0.0,68.7,31.3,neu,side  cafe serves really good food 
101,59,7,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",0.0,66.4,33.6,neu,server fantastic found wife loves roasted garlic bone marrow  added extra meal another marrow go 
102,77,7,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",0.0,61.2,38.8,neu,good thing waiter  helpful kept bloddy mary s coming 
103,716,7,"Best Buffet in town, for the price you cannot beat it.",0.0,58.8,41.2,neu,Best Buffet town  price beat 
104,84,7,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",0.0,56.89999999999999,43.1,neu,LOVED mussels cooked wine reduction  duck tender  potato dishes delicious 
105,826,7,This is one of the better buffets that I have been to.,0.0,50.8,49.2,neu,one better buffets 
106,494,7,So we went to Tigerlilly and had a fantastic afternoon!,0.0,50.7,49.3,neu,went Tigerlilly fantastic afternoon 
107,583,7,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",0.0,49.7,50.3,pos,food delicious  bartender attentive personable got great deal 
108,1198,7,The ambience is wonderful and there is music playing.,0.0,35.3,64.7,pos,ambience wonderful music playing 
109,717,7,Will go back next trip out.,0.0,100.0,0.0,neu,go back next trip 
110,365,7,Sooooo good!!,0.0,46.3,53.7,pos,Sooooo good  
111,886,7,"REAL sushi lovers, let's be honest - Yama is not that good.",0.0,45.5,54.50000000000001,pos,REAL sushi lovers  let s honest  Yama good 
112,491,7,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0.0,100.0,0.0,neu,least 40min passed us ordering food arriving  nt busy 
113,609,7,This is a really fantastic Thai restaurant which is definitely worth a visit.,0.0,37.1,62.9,pos,really fantastic Thai restaurant definitely worth visit 
114,481,7,"Nice, spicy and tender.",0.0,58.8,41.2,neu,Nice  spicy tender 
115,100,8,Good prices.,0.0,40.8,59.2,pos,Good prices 
116,95,8,Check it out.,0.0,100.0,0.0,neu,Check 
117,99,8,It was pretty gross!,40.8,13.2,46.0,pos,pretty gross 
118,93,8,I've had better atmosphere.,0.0,50.8,49.2,neu,ve better atmosphere 
119,98,8,Kind of hard to mess up a steak but they did.,41.9,21.5,36.6,neg,Kind hard mess steak 
120,94,8,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",20.0,62.5,17.5,neu,Although much liked look sound place  actual experience bit disappointing 
121,94,8,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0.0,100.0,0.0,neu,nt know place managed served blandest food ever eaten preparing Indian cuisine 
122,96,8,"Worst service to boot, but that is the least of their worries.",35.9,43.7,20.4,neu,Worst service boot  least worries 
123,97,8,Service was fine and the waitress was friendly.,0.0,37.5,62.5,pos,Service fine waitress friendly 
124,97,8,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",13.900000000000002,44.2,41.8,neu,guys steaks  steak loving son steak best worst places said best steak s ever eaten 
125,98,8,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",0.0,81.8,18.2,neu,thought d venture away get good sushi  place really hit spot night 
126,98,8,"Host staff were, for lack of a better word, BITCHES!",44.8,37.2,18.0,neg,Host staff  lack better word  BITCHES 
127,89,8,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,26.6,44.9,28.5,neu,Bland  liking place number reasons nt want waste time bad reviewing  ll leave 
128,97,8,"Phenomenal food, service and ambiance.",0.0,100.0,0.0,neu,Phenomenal food  service ambiance 
129,102,8,I wouldn't return.,0.0,100.0,0.0,neu,would nt return 
130,96,8,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",0.0,70.5,29.5,neu,Definitely worth venturing strip pork belly  return next time m Vegas 
131,89,8,This place is way too overpriced for mediocre food.,0.0,100.0,0.0,neu,place way overpriced mediocre food 
132,92,8,Penne vodka excellent!,0.0,42.9,57.1,pos,Penne vodka excellent 
133,90,8,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",0.0,85.39999999999999,14.6,neu,good selection food including massive meatloaf sandwich  crispy chicken wrap  delish tuna melt tasty burgers 
134,167,9,The management is rude.,60.0,40.0,0.0,neg,management rude 
135,459,9,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",0.0,64.5,35.5,neu,Delicious NYC bagels  good selections cream cheese  real Lox capers even 
136,501,9,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",0.0,58.8,41.2,neu,Great Subway  fact s good come every Subway meet expectations 
137,247,9,I had a seriously solid breakfast here.,32.1,37.7,30.2,neu,seriously solid breakfast 
138,238,9,This is one of the best bars with food in Vegas.,0.0,54.3,45.7,neu,one best bars food Vegas 
139,145,9,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",18.8,57.2,24.0,neu,extremely rude really  many restaurants would love dine weekend Vegas 
140,134,9,My drink was never empty and he made some really great menu suggestions.,0.0,53.900000000000006,46.1,neu,drink never empty made really great menu suggestions 
141,133,9,Don't do it!!!!,0.0,100.0,0.0,neu,nt    
142,603,9,The waiter wasn't helpful or friendly and rarely checked on us.,45.3,54.7,0.0,neu,waiter nt helpful friendly rarely checked us 
143,244,9,My husband and I ate lunch here and were very disappointed with the food and service.,34.1,65.9,0.0,neu,husband ate lunch disappointed food service 
144,595,9,And the red curry had so much bamboo shoots and wasn't very tasty to me.,0.0,100.0,0.0,neu,red curry much bamboo shoots nt tasty 
145,459,9,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,0.0,53.0,47.0,neu,Nice blanket moz top feel like done cover subpar food 
146,137,9,The bathrooms are clean and the place itself is well decorated.,0.0,45.5,54.50000000000001,pos,bathrooms clean place well decorated 
147,431,9,"The menu is always changing, food quality is going down & service is extremely slow.",0.0,100.0,0.0,neu,menu always changing  food quality going  service extremely slow 
148,142,9,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0.0,100.0,0.0,neu,service little slow  considering served 3 people servers food coming slow pace 
149,108,9,I give it 2 thumbs down,0.0,100.0,0.0,neu,give 2 thumbs
150,660,10,We watched our waiter pay a lot more attention to other tables and ignore us.,35.8,64.2,0.0,neu,watched waiter pay lot attention tables ignore us 
151,327,10,My fiancÃÂÃÂÃÂÃÂ© and I came in the middle of the day and we were greeted and seated right away.,0.0,81.10000000000001,18.9,neu,fiancÃÂÃÂÃÂÃÂ© came middle day greeted seated right away 
152,368,10,This is a great restaurant at the Mandalay Bay.,0.0,49.4,50.6,pos,great restaurant Mandalay Bay 
153,854,10,We waited for forty five minutes in vain.,35.9,64.1,0.0,neu,waited forty five minutes vain 
154,34,10,Crostini that came with the salad was stale.,0.0,100.0,0.0,neu,Crostini came salad stale 
155,1079,10,Some highlights : Great quality nigiri here!,0.0,53.2,46.8,neu,highlights  Great quality nigiri 
156,476,10,the staff is friendly and the joint is always clean.,0.0,40.400000000000006,59.6,pos,staff friendly joint always clean 
157,47,10,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,12.4,41.2,46.5,pos,different cut piece day still wonderful tender well well flavored 
158,890,10,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,0.0,67.30000000000001,32.7,neu,ordered Voodoo pasta first time d really excellent pasta since going gluten free several years ago 
159,888,10,this place is good.,0.0,40.8,59.2,pos,place good 
160,724,10,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",19.4,80.60000000000001,0.0,neu,Unfortunately  must hit bakery leftover day everything ordered STALE 
161,860,10,I came back today since they relocated and still not impressed.,0.0,69.3,30.7,neu,came back today since relocated still impressed 
162,294,10,I was seated immediately.,0.0,100.0,0.0,neu,seated immediately 
163,81,10,"Their menu is diverse, and reasonably priced.",0.0,100.0,0.0,neu,menu diverse  reasonably priced 
164,565,10,Avoid at all cost!,55.50000000000001,44.5,0.0,neg,Avoid cost 
165,132,10,Restaurant is always full but never a wait.,0.0,100.0,0.0,neu,Restaurant always full never wait 
166,463,10,DELICIOUS!!,0.0,28.5,71.5,pos,DELICIOUS  
167,356,10,This place is hands-down one of the best places to eat in the Phoenix metro area.,0.0,68.2,31.8,neu,place handsdown one best places eat Phoenix metro area 
168,289,10,So don't go there if you are looking for good food...,32.5,67.5,0.0,neu,nt go looking good food 
169,51,10,I've never been treated so bad.,0.0,58.4,41.6,neu,ve never treated bad 
170,1122,10,Bacon is hella salty.,0.0,100.0,0.0,neu,Bacon hella salty 
171,479,10,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",20.5,79.5,0.0,neu,also ordered spinach avocado salad  ingredients sad dressing literally zero taste 
172,69,10,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",0.0,85.2,14.8,neu,really Vegas fine dining used  right menus handed ladies prices listed 
173,496,10,The waitresses are very friendly.,0.0,38.5,61.5,pos,waitresses friendly 
174,141,11,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",17.1,54.3,28.6,neu,Lordy  Khao Soi dish missed curry lovers 
175,455,11,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,0.0,44.9,55.1,pos,Everything menu terrific also thrilled made amazing accommodations vegetarian daughter 
176,242,11,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0.0,75.8,24.2,neu,Perhaps caught night judging reviews  m inspired go back 
177,245,11,The service here leaves a lot to be desired.,0.0,65.60000000000001,34.4,neu,service leaves lot desired 
178,136,11,"The atmosphere is modern and hip, while maintaining a touch of coziness.",0.0,73.7,26.3,neu,atmosphere modern hip  maintaining touch coziness 
179,455,11,"Not a weekly haunt, but definitely a place to come back to every once in a while.",21.8,56.49999999999999,21.8,neu,weekly haunt  definitely place come back every 
180,142,11,We literally sat there for 20 minutes with no one asking to take our order.,0.0,100.0,0.0,neu,literally sat 20 minutes one asking take order 
181,421,11,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0.0,100.0,0.0,neu,burger absolutely flavor  meat totally bland  burger overcooked charcoal flavor 
182,601,11,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,17.4,44.9,37.6,neu,also decided send back waitress looked like verge heart attack 
183,141,11,I dressed up to be treated so rudely!,53.8,46.2,0.0,neg,dressed treated rudely 
184,244,11,It was probably dirt.,54.50000000000001,45.5,0.0,neg,probably dirt 
185,601,11,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",0.0,52.3,47.7,neu,Love place  hits spot want something healthy lacking quantity flavor 
186,603,11,I ordered the Lemon raspberry ice cocktail which was also incredible.,0.0,100.0,0.0,neu,ordered Lemon raspberry ice cocktail also incredible 
187,247,11,"The food sucked, which we expected but it sucked more than we could have imagined.",50.0,50.0,0.0,neg,food sucked  expected sucked could imagined 
188,509,11,Interesting decor.,0.0,42.6,57.4,pos,Interesting decor 
189,146,11,What I really like there is the crepe station.,0.0,58.9,41.1,neu,really like crepe station 
190,165,11,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",0.0,66.7,33.300000000000004,neu,Also served hot bread butter  home made potato chips bacon bits top  original good 
191,418,11,you can watch them preparing the delicious food!),0.0,55.60000000000001,44.4,neu,watch preparing delicious food  
192,144,11,Both of the egg rolls were fantastic.,0.0,45.5,54.50000000000001,pos,egg rolls fantastic 
193,431,11,"When my order arrived, one of the gyros was missing.",26.8,73.2,0.0,neu,order arrived  one gyros missing 
194,425,11,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",0.0,66.2,33.800000000000004,neu,salad wings  ice cream dessert left feeling quite satisfied 
195,516,12,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0.0,63.9,36.1,neu,m really sure Joey s voted best hot dog Valley readers Phoenix Magazine 
196,347,12,The best place to go for a tasty bowl of Pho!,0.0,57.2,42.8,neu,best place go tasty bowl Pho 
197,354,12,The live music on Fridays totally blows.,0.0,100.0,0.0,neu,live music Fridays totally blows 
198,354,12,I've never been more insulted or felt disrespected.,0.0,43.6,56.39999999999999,pos,ve never insulted felt disrespected 
199,160,12,Very friendly staff.,0.0,38.5,61.5,pos,friendly staff 
200,348,12,It is worth the drive.,0.0,51.3,48.7,neu,worth drive 
201,153,12,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",0.0,60.8,39.2,neu,heard good things place  exceeding every hope could dreamed 
202,523,12,Food was great and so was the serivce!,0.0,40.6,59.4,pos,Food great serivce 
203,440,12,The warm beer didn't help.,31.5,41.9,26.5,neu,warm beer nt help 
204,148,12,Great brunch spot.,0.0,42.3,57.7,pos,Great brunch spot 
205,514,12,Service is friendly and inviting.,0.0,26.700000000000003,73.3,pos,Service friendly inviting 
206,345,12,Very good lunch spot.,0.0,50.8,49.2,neu,good lunch spot 
207,349,12,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0.0,100.0,0.0,neu,ve lived since 1979 first  last  time ve stepped foot place 
208,513,12,The WORST EXPERIENCE EVER.,61.7,38.3,0.0,neg,WORST EXPERIENCE EVER 
209,340,12,Must have been an off night at this place.,0.0,100.0,0.0,neu,Must night place 
210,514,12,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",0.0,100.0,0.0,neu,sides delish  mixed mushrooms  yukon gold puree  white corn  beateous 
211,448,12,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0.0,85.0,15.0,neu,bug never showed would given 4 sure  side wall bug climbing kitchen 
212,346,12,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0.0,100.0,0.0,neu,10 minutes  re waiting salad realized nt coming time soon 
213,447,12,My friend loved the salmon tartar.,0.0,29.7,70.3,pos,friend loved salmon tartar 
214,701,12,Won't go back.,0.0,100.0,0.0,neu,Wo nt go back 
215,504,13,Extremely Tasty!,0.0,100.0,0.0,neu,Extremely Tasty 
216,172,13,Waitress was good though!,0.0,48.4,51.6,pos,Waitress good though 
217,142,13,Soggy and not good.,0.0,40.8,59.2,pos,Soggy good 
218,141,13,The Jamaican mojitos are delicious.,0.0,44.8,55.2,pos,Jamaican mojitos delicious 
219,594,13,Which are small and not worth the price.,0.0,61.2,38.8,neu,small worth price 
220,508,13,the food is rich so order accordingly.,0.0,52.6,47.4,neu,food rich order accordingly 
221,602,13,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0.0,100.0,0.0,neu,shower area outside rinse  take full shower  unless nt mind nude everyone see 
222,421,13,The service was a bit lacking.,0.0,100.0,0.0,neu,service bit lacking 
223,235,13,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0.0,100.0,0.0,neu,Lobster Bisque  Bussell Sprouts  Risotto  Filet needed salt pepper  course none tables 
224,118,13,Hopefully this bodes for them going out of business and someone who can cook can come in.,0.0,72.2,27.800000000000004,neu,Hopefully bodes going business someone cook come 
225,454,13,"It was either too cold, not enough flavor or just bad.",36.8,63.2,0.0,neu,either cold  enough flavor bad 
226,246,13,I loved the bacon wrapped dates.,0.0,50.6,49.4,neu,loved bacon wrapped dates 
227,137,13,This is an unbelievable BARGAIN!,0.0,17.8,82.19999999999999,pos,unbelievable BARGAIN 
228,115,13,The folks at Otto always make us feel so welcome and special.,0.0,55.1,44.9,neu,folks Otto always make us feel welcome special 
229,508,13,"As for the ""mains,"" also uninspired.",0.0,100.0,0.0,neu, mains   also uninspired 
230,248,13,This is the place where I first had pho and it was amazing!!,0.0,53.3,46.7,neu,place first pho amazing  
231,634,14,This wonderful experience made this place a must-stop whenever we are in town again.,0.0,65.4,34.599999999999994,neu,wonderful experience made place muststop whenever town 
232,184,14,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",13.0,54.2,32.800000000000004,neu,food nt bad enough  enjoy dealing world s worstannoying drunk people 
233,14,14,Very very fun chef.,0.0,37.7,62.3,pos,fun chef 
234,232,14,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",19.2,70.39999999999999,10.3,neu,Ordered double cheeseburger  got single patty falling apart  picture uploaded  Yeah  still sucks 
235,396,14,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,0.0,72.8,27.200000000000003,neu,Great place couple drinks watch sporting events walls covered TV s 
